s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 4.4526634E+001, 0.0000000E+000,-4.2833070E-001,-1.5424619E+001,-6.2742617E-001, 7.8050888E-017, 0.0000000E+000, 0.0000000E+000,-2.0842734E+001,-1.6480376E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5093369E+001, 0.0000000E+000,-4.6640501E-001,-1.4175728E+001,-5.7945023E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9475136E+001,-1.5221583E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5660107E+001, 0.0000000E+000,-4.4533288E-001,-1.3103137E+001,-5.4146318E-001, 7.3910290E-017, 0.0000000E+000, 0.0000000E+000,-1.8340026E+001,-1.4089934E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6226841E+001, 0.0000000E+000,-4.2542692E-001,-1.2168722E+001,-5.3490903E-001,-1.4505112E-016, 0.0000000E+000, 0.0000000E+000,-1.7334660E+001,-1.3129058E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6793579E+001, 0.0000000E+000,-4.5659783E-001,-1.1347930E+001,-5.3733283E-001,-7.0863678E-017, 0.0000000E+000, 0.0000000E+000,-1.6453342E+001,-1.2341860E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.7360317E+001, 0.0000000E+000,-4.3854925E-001,-1.0614381E+001,-5.0731456E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5729096E+001,-1.1560245E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.7927052E+001, 0.0000000E+000,-4.2131401E-001,-9.9624047E+000,-4.7851340E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5026040E+001,-1.0862232E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8493790E+001, 0.0000000E+000,-4.4464012E-001,-9.3840254E+000,-4.6187047E-001, 6.6410735E-017, 0.0000000E+000, 0.0000000E+000,-1.4400909E+001,-1.0290536E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.9060528E+001, 0.0000000E+000,-4.2872978E-001,-8.8507752E+000,-4.5832778E-001,-1.2999335E-016, 0.0000000E+000, 0.0000000E+000,-1.3878545E+001,-9.7378328E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.9627262E+001, 0.0000000E+000,-4.1340397E-001,-8.3859640E+000,-4.2257180E-001,-3.2527409E-028, 0.0000000E+000, 0.0000000E+000,-1.3372346E+001,-9.2219398E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0194000E+001, 0.0000000E+000,-4.2927546E-001,-7.9602074E+000,-4.1931948E-001,-6.2160073E-017, 0.0000000E+000, 0.0000000E+000,-1.2932714E+001,-8.8088023E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0760735E+001, 0.0000000E+000,-4.1490798E-001,-7.5752734E+000,-4.0432262E-001,-9.7005699E-022, 0.0000000E+000, 0.0000000E+000,-1.2541613E+001,-8.3945040E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.1327473E+001, 0.0000000E+000,-4.0097238E-001,-7.2174901E+000,-4.1207233E-001, 5.9395470E-017, 0.0000000E+000, 0.0000000E+000,-1.2167216E+001,-8.0305348E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.1894211E+001, 0.0000000E+000,-4.1507623E-001,-6.8897928E+000,-3.7195424E-001,-5.8181361E-017, 0.0000000E+000, 0.0000000E+000,-1.1818363E+001,-7.6768232E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2460945E+001, 0.0000000E+000,-4.0188108E-001,-6.6031060E+000,-3.4012130E-001,-5.7014940E-017, 0.0000000E+000, 0.0000000E+000,-1.1524738E+001,-7.3451084E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3027683E+001, 0.0000000E+000,-3.8899274E-001,-6.3400136E+000,-3.6854246E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1258629E+001,-7.0975488E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3594421E+001, 0.0000000E+000,-4.0211623E-001,-6.1044157E+000,-3.6292688E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1030770E+001,-6.8694588E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4161156E+001, 0.0000000E+000,-3.8973159E-001,-5.8795606E+000,-3.6784730E-001,-5.3293583E-017, 0.0000000E+000, 0.0000000E+000,-1.0821442E+001,-6.6371395E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4727894E+001, 0.0000000E+000,-3.7759640E-001,-5.6693663E+000,-3.5783920E-001,-2.6821814E-028, 0.0000000E+000, 0.0000000E+000,-1.0604979E+001,-6.4048019E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.5294628E+001, 0.0000000E+000,-3.8990101E-001,-5.4768306E+000,-3.0947166E-001, 1.0295571E-016, 0.0000000E+000, 0.0000000E+000,-1.0378535E+001,-6.1762033E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.5861366E+001, 0.0000000E+000,-3.7820900E-001,-5.2820392E+000,-3.3749307E-001,-5.0218289E-017, 0.0000000E+000, 0.0000000E+000,-1.0220091E+001,-5.9977413E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6428104E+001, 0.0000000E+000,-3.6670876E-001,-5.1087604E+000,-3.2252330E-001, 4.9279310E-017, 0.0000000E+000, 0.0000000E+000,-1.0053698E+001,-5.7979924E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6994839E+001, 0.0000000E+000,-3.7717634E-001,-4.9455896E+000,-2.8965913E-001,-3.8662196E-022, 0.0000000E+000, 0.0000000E+000,-9.8861924E+000,-5.6124251E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.7561577E+001, 0.0000000E+000,-3.6603207E-001,-4.7867894E+000,-2.8569490E-001,-4.7416382E-017, 0.0000000E+000, 0.0000000E+000,-9.7444629E+000,-5.4385164E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8128311E+001, 0.0000000E+000,-3.5504660E-001,-4.6396622E+000,-2.6868738E-001, 3.7268542E-022, 0.0000000E+000, 0.0000000E+000,-9.6065560E+000,-5.2633962E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8695049E+001, 0.0000000E+000,-3.6322087E-001,-4.4983318E+000,-2.6232571E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4814943E+000,-5.1238784E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
