s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 4.3015968E+001, 0.0000000E+000,-5.0722938E-004,-8.1413934E-002,-8.9253054E-005,-4.9279643E-019, 0.0000000E+000, 0.0000000E+000,-3.7557993E-002,-8.2010417E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3128868E+001, 0.0000000E+000,-4.9888074E-004,-6.9487076E-002,-6.3612325E-005, 1.2357411E-019, 0.0000000E+000, 0.0000000E+000,-3.6315323E-002,-7.0049569E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3241768E+001, 0.0000000E+000,-4.9948889E-004,-5.6761561E-002,-6.2139748E-005,-2.9303238E-019, 0.0000000E+000, 0.0000000E+000,-3.5103233E-002,-5.7323190E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3354668E+001, 0.0000000E+000,-4.9168899E-004,-4.3574175E-002,-5.9782994E-005,-3.3537368E-019, 0.0000000E+000, 0.0000000E+000,-3.3946090E-002,-4.4125647E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3467567E+001, 0.0000000E+000,-4.8414892E-004,-3.0290497E-002,-5.7628324E-005,-1.1805139E-020, 0.0000000E+000, 0.0000000E+000,-3.2823526E-002,-3.0832274E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3580467E+001, 0.0000000E+000,-4.8440836E-004,-1.7302685E-002,-5.6660022E-005, 6.6300580E-019, 0.0000000E+000, 0.0000000E+000,-3.1747407E-002,-1.7843754E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3693367E+001, 0.0000000E+000,-4.7735200E-004,-4.9965709E-003,-5.8761735E-005,-1.9058681E-020, 0.0000000E+000, 0.0000000E+000,-3.0731997E-002,-5.5326846E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3806271E+001, 0.0000000E+000,-4.7051851E-004, 6.3043125E-003,-7.1891906E-005, 1.9649499E-019, 0.0000000E+000, 0.0000000E+000,-2.9767701E-002, 5.7619021E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3919170E+001, 0.0000000E+000,-4.7018325E-004, 1.6315025E-002,-7.0473783E-005,-3.5884331E-019, 0.0000000E+000, 0.0000000E+000,-2.8851490E-002, 1.5774368E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4032070E+001, 0.0000000E+000,-4.6376126E-004, 2.4754878E-002,-7.0309055E-005, 1.0835855E-018, 0.0000000E+000, 0.0000000E+000,-2.7985775E-002, 2.4220807E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4144970E+001, 0.0000000E+000,-4.5752989E-004, 3.1498627E-002,-6.9219353E-005,-8.0524565E-019, 0.0000000E+000, 0.0000000E+000,-2.7159854E-002, 3.0971878E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4257870E+001, 0.0000000E+000,-4.5717324E-004, 3.6338902E-002,-6.7783540E-005,-5.0353270E-019, 0.0000000E+000, 0.0000000E+000,-2.6381884E-002, 3.5813945E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4370770E+001, 0.0000000E+000,-4.5128879E-004, 3.9194768E-002,-6.6339971E-005,-2.3391433E-019, 0.0000000E+000, 0.0000000E+000,-2.5655521E-002, 3.8677139E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4483669E+001, 0.0000000E+000,-4.4556412E-004, 4.0115322E-002,-6.5484514E-005,-5.4729346E-019, 0.0000000E+000, 0.0000000E+000,-2.4962368E-002, 3.9604274E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4596569E+001, 0.0000000E+000,-4.4569089E-004, 3.9040090E-002,-6.4269911E-005, 1.8270563E-019, 0.0000000E+000, 0.0000000E+000,-2.4312621E-002, 3.8530129E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4709469E+001, 0.0000000E+000,-4.4025561E-004, 3.6219576E-002,-6.4284646E-005, 5.1025756E-020, 0.0000000E+000, 0.0000000E+000,-2.3706451E-002, 3.5715036E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4822372E+001, 0.0000000E+000,-4.3495256E-004, 3.1664064E-002,-6.5897316E-005,-5.4813976E-020, 0.0000000E+000, 0.0000000E+000,-2.3132531E-002, 3.1163215E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4935272E+001, 0.0000000E+000,-4.3523801E-004, 2.5647006E-002,-6.2172808E-005,-2.9018309E-019, 0.0000000E+000, 0.0000000E+000,-2.2592825E-002, 2.5149596E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5000000E+001, 0.0000000E+000,-4.3232095E-004, 2.0756743E-002,-6.7239999E-005,-6.8499893E-020, 0.0000000E+000, 0.0000000E+000,-2.2198477E-002, 2.0257182E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
